Hinweis IV:050607 bedeutet IV[0]=05,IV[1]=06,IV[2]=07
IV: 03 FF 00  Schlüsselstrom: FC
IV: 03 FF 01  Schlüsselstrom: E1
IV: 03 FF 02  Schlüsselstrom: 55
IV: 03 FF 03  Schlüsselstrom: B2
IV: 03 FF 04  Schlüsselstrom: FA
IV: 03 FF 05  Schlüsselstrom: 2F
IV: 03 FF 06  Schlüsselstrom: 26
IV: 03 FF 07  Schlüsselstrom: 03
IV: 03 FF 08  Schlüsselstrom: 0A
IV: 03 FF 09  Schlüsselstrom: 03
IV: 03 FF 0A  Schlüsselstrom: 00
IV: 03 FF 0B  Schlüsselstrom: 8D
IV: 03 FF 0C  Schlüsselstrom: 2E
IV: 03 FF 0D  Schlüsselstrom: 47
IV: 03 FF 0E  Schlüsselstrom: 19
IV: 03 FF 0F  Schlüsselstrom: 7C
IV: 03 FF 10  Schlüsselstrom: 71
IV: 03 FF 11  Schlüsselstrom: B7
IV: 03 FF 12  Schlüsselstrom: 03
IV: 03 FF 13  Schlüsselstrom: D5
IV: 03 FF 14  Schlüsselstrom: F9
IV: 03 FF 15  Schlüsselstrom: E0
IV: 03 FF 16  Schlüsselstrom: D9
IV: 03 FF 17  Schlüsselstrom: 80
IV: 03 FF 18  Schlüsselstrom: F6
IV: 03 FF 19  Schlüsselstrom: EF
IV: 03 FF 1A  Schlüsselstrom: 03
IV: 03 FF 1B  Schlüsselstrom: 5C
IV: 03 FF 1C  Schlüsselstrom: 8C
IV: 03 FF 1D  Schlüsselstrom: BA
IV: 03 FF 1E  Schlüsselstrom: 03
IV: 03 FF 1F  Schlüsselstrom: 7A
IV: 03 FF 20  Schlüsselstrom: 04
IV: 03 FF 21  Schlüsselstrom: CC
IV: 03 FF 22  Schlüsselstrom: 9B
IV: 03 FF 23  Schlüsselstrom: BC
IV: 03 FF 24  Schlüsselstrom: 03
IV: 03 FF 25  Schlüsselstrom: D2
IV: 03 FF 26  Schlüsselstrom: D3
IV: 03 FF 27  Schlüsselstrom: A7
IV: 03 FF 28  Schlüsselstrom: 92
IV: 03 FF 29  Schlüsselstrom: 6C
IV: 03 FF 2A  Schlüsselstrom: 03
IV: 03 FF 2B  Schlüsselstrom: D8
IV: 03 FF 2C  Schlüsselstrom: FB
IV: 03 FF 2D  Schlüsselstrom: 03
IV: 03 FF 2E  Schlüsselstrom: EA
IV: 03 FF 2F  Schlüsselstrom: C8
